[aaudio.hw_burst_min_usec]: [2000]
[aaudio.mmap_exclusive_policy]: [2]
[aaudio.mmap_policy]: [2]
[af.fast_track_multiplier]: [1]
[audio.deep_buffer.media]: [true]
[bastet.service.enable]: [true]
[bluetooth.core.gap.le.privacy.enabled]: [true]
[bluetooth.framework.adapter_address_validation]: [false]
[bluetooth.framework.support_persisted_state]: [true]
[bluetooth.hardware.power.idle_cur_ma]: [0]
[bluetooth.hardware.power.operating_voltage_mv]: [0]
[bluetooth.hardware.power.rx_cur_ma]: [0]
[bluetooth.hardware.power.tx_cur_ma]: [0]
[bluetooth.profile.a2dp.sink.enabled]: [false]
[bluetooth.profile.a2dp.source.enabled]: [true]
[bluetooth.profile.asha.central.enabled]: [false]
[bluetooth.profile.avrcp.controller.enabled]: [false]
[bluetooth.profile.avrcp.target.enabled]: [true]
[bluetooth.profile.bap.broadcast.assist.enabled]: [false]
[bluetooth.profile.bap.broadcast.source.enabled]: [false]
[bluetooth.profile.bap.unicast.client.enabled]: [false]
[bluetooth.profile.bas.client.enabled]: [false]
[bluetooth.profile.ccp.server.enabled]: [false]
[bluetooth.profile.csip.set_coordinator.enabled]: [false]
[bluetooth.profile.gatt.enabled]: [true]
[bluetooth.profile.hap.client.enabled]: [false]
[bluetooth.profile.hfp.ag.enabled]: [true]
[bluetooth.profile.hfp.hf.enabled]: [false]
[bluetooth.profile.hid.device.enabled]: [true]
[bluetooth.profile.hid.host.enabled]: [true]
[bluetooth.profile.map.client.enabled]: [false]
[bluetooth.profile.map.server.enabled]: [true]
[bluetooth.profile.mcp.server.enabled]: [false]
[bluetooth.profile.opp.enabled]: [true]
[bluetooth.profile.pan.nap.enabled]: [true]
[bluetooth.profile.pan.panu.enabled]: [true]
[bluetooth.profile.pbap.client.enabled]: [false]
[bluetooth.profile.pbap.server.enabled]: [true]
[bluetooth.profile.sap.server.enabled]: [false]
[bluetooth.profile.vcp.controller.enabled]: [false]
[bootreceiver.enable]: [0]
[bt.dpbap.enable]: [1]
[bt.max.hfpclient.connections]: [2]
[bt.scene.app_type]: [255]
[build.version.extensions.r]: [3]
[build.version.extensions.s]: [3]
[build.version.extensions.t]: [3]
[cache_key.bluetooth.bluetooth_adapter_get_connection_state]: [-1992165132740592594]
[cache_key.bluetooth.bluetooth_adapter_get_profile_connection_state]: [-1992165132740592593]
[cache_key.bluetooth.bluetooth_adapter_get_state]: [-1992165132740592592]
[cache_key.bluetooth.bluetooth_adapter_is_offloaded_filtering_supported]: [-1992165132740592598]
[cache_key.bluetooth.bluetooth_device_get_bond_state]: [-1992165132740592601]
[cache_key.bluetooth.bluetooth_map_get_connection_state]: [-1992165132740592595]
[cache_key.bluetooth.bluetooth_sap_get_connection_state]: [-1992165132740592599]
[cache_key.display_info]: [-4388258428217117378]
[cache_key.get_packages_for_uid]: [-4388258428217117388]
[cache_key.get_pc_cast_mode]: [-4388258428217120707]
[cache_key.get_virtual_display_id]: [-4388258428217120752]
[cache_key.has_system_feature]: [-4388258428217120735]
[cache_key.is_compat_change_enabled]: [-4388258428217117398]
[cache_key.is_interactive]: [-4388258428217117437]
[cache_key.is_power_save_mode]: [-4388258428217120724]
[cache_key.is_user_unlocked]: [-4388258428217120656]
[cache_key.location_enabled]: [-4388258428217120725]
[cache_key.package_info]: [-4388258428217117397]
[cache_key.system_server.account_user_data]: [-4388258428217117401]
[cache_key.system_server.accounts_data]: [-4388258428217117630]
[cache_key.system_server.device_policy_manager_caches]: [-4388258428217120726]
[cache_key.system_server.get_credential_type]: [-4388258428217120713]
[cache_key.telephony.get_active_data_sub_id]: [1259712588547288016]
[cache_key.telephony.get_default_data_sub_id]: [1259712588547288012]
[cache_key.telephony.get_default_sms_sub_id]: [1259712588547288013]
[cache_key.telephony.get_default_sub_id]: [1259712588547288020]
[cache_key.telephony.get_slot_index]: [1259712588547288021]
[cache_key.telephony.phone_account_to_subid]: [1259712588547288026]
[camera.disable_zsl_mode]: [true]
[com.dragon.read]: [novel_honor2022_537_yz1]
[com.ss.android.article.news]: [tt_honor2022_85198_yz1]
[config.disable_consumerir]: [true]
[dalvik.vm.appimageformat]: [lz4]
[dalvik.vm.bgdexopt.new-classes-percent]: [2]
[dalvik.vm.bgdexopt.new-methods-percent]: [2]
[dalvik.vm.checkjni]: [false]
[dalvik.vm.dex2oat-Xms]: [64m]
[dalvik.vm.dex2oat-Xmx]: [512m]
[dalvik.vm.dex2oat-max-image-block-size]: [524288]
[dalvik.vm.dex2oat-minidebuginfo]: [true]
[dalvik.vm.dex2oat-resolve-startup-strings]: [true]
[dalvik.vm.dexopt.secondary]: [true]
[dalvik.vm.dexopt.thermal-cutoff]: [2]
[dalvik.vm.heapgrowthlimit]: [384m]
[dalvik.vm.heapmaxfree]: [8m]
[dalvik.vm.heapminfree]: [2m]
[dalvik.vm.heapsize]: [512m]
[dalvik.vm.heapstartsize]: [16m]
[dalvik.vm.heaptargetutilization]: [0.75]
[dalvik.vm.image-dex2oat-Xms]: [64m]
[dalvik.vm.image-dex2oat-Xmx]: [64m]
[dalvik.vm.isa.arm.features]: [default]
[dalvik.vm.isa.arm.variant]: [cortex-a9]
[dalvik.vm.isa.arm64.features]: [default]
[dalvik.vm.isa.arm64.variant]: [generic]
[dalvik.vm.madvise.artfile.size]: [0]
[dalvik.vm.madvise.odexfile.size]: [0]
[dalvik.vm.madvise.vdexfile.size]: [0]
[dalvik.vm.minidebuginfo]: [true]
[dalvik.vm.ps-min-first-save-ms]: [8000]
[dalvik.vm.stack-trace-file]: [/data/anr/traces.txt]
[dalvik.vm.usejit]: [true]
[dalvik.vm.usejitprofiles]: [true]
[debug.atrace.tags.enableflags]: [0]
[debug.egl.hw]: [0]
[debug.force_rtl]: [false]
[debug.mdpcomp.logs]: [0]
[debug.sf.disable_client_composition_cache]: [1]
[debug.sf.enable_advanced_sf_phase_offset]: [1]
[debug.sf.enable_gl_backpressure]: [1]
[debug.sf.high_fps_early_gl_phase_offset_ns]: [-4000000]
[debug.sf.high_fps_early_phase_offset_ns]: [-4000000]
[debug.sf.high_fps_late_app_phase_offset_ns]: [1000000]
[debug.sf.high_fps_late_sf_phase_offset_ns]: [-4000000]
[debug.sf.hw]: [0]
[debug.sf.latch_unsignaled]: [1]
[debug.stagefright.c2inputsurface]: [-1]
[debug.stagefright.ccodec]: [4]
[debug.stagefright.omx_default_rank]: [0]
[debug.tracing.screen_brightness]: [0.281887]
[dev.bootcomplete]: [1]
[dev.mnt.blk.cache]: [sda14]
[dev.mnt.blk.cust]: [sda53]
[dev.mnt.blk.data]: [sda54]
[dev.mnt.blk.data.user.0]: [sda54]
[dev.mnt.blk.log]: [sda12]
[dev.mnt.blk.metadata]: [sda15]
[dev.mnt.blk.mnt.vendor.persist]: [sda2]
[dev.mnt.blk.odm]: [sda53]
[dev.mnt.blk.patch_hn]: [sda30]
[dev.mnt.blk.preas]: [sda53]
[dev.mnt.blk.preavs]: [sda53]
[dev.mnt.blk.preload]: [sda53]
[dev.mnt.blk.product_h]: [sda53]
[dev.mnt.blk.root]: [sda53]
[dev.mnt.blk.system_ext]: [sda53]
[dev.mnt.blk.vendor]: [sda53]
[dev.mnt.blk.vendor.bt_firmware]: [sde5]
[dev.mnt.blk.vendor.dsp]: [sde7]
[dev.mnt.blk.vendor.firmware_mnt]: [sde4]
[dev.mnt.blk.version]: [sda53]
[dev.mnt.dev.cache]: [sda14]
[dev.mnt.dev.cust]: [dm-15]
[dev.mnt.dev.data]: [dm-21]
[dev.mnt.dev.data.user.0]: [dm-21]
[dev.mnt.dev.log]: [sda12]
[dev.mnt.dev.metadata]: [sda15]
[dev.mnt.dev.mnt.vendor.persist]: [sda2]
[dev.mnt.dev.odm]: [dm-14]
[dev.mnt.dev.patch_hn]: [dm-10]
[dev.mnt.dev.preas]: [dm-17]
[dev.mnt.dev.preavs]: [dm-18]
[dev.mnt.dev.preload]: [dm-20]
[dev.mnt.dev.product_h]: [dm-16]
[dev.mnt.dev.root]: [dm-11]
[dev.mnt.dev.system_ext]: [dm-12]
[dev.mnt.dev.vendor]: [dm-13]
[dev.mnt.dev.vendor.bt_firmware]: [sde5]
[dev.mnt.dev.vendor.dsp]: [sde7]
[dev.mnt.dev.vendor.firmware_mnt]: [sde4]
[dev.mnt.dev.version]: [dm-19]
[dev.mnt.rootdisk.cache]: [sda]
[dev.mnt.rootdisk.cust]: [sda]
[dev.mnt.rootdisk.data]: [sda]
[dev.mnt.rootdisk.data.user.0]: [sda]
[dev.mnt.rootdisk.log]: [sda]
[dev.mnt.rootdisk.metadata]: [sda]
[dev.mnt.rootdisk.odm]: [sda]
[dev.mnt.rootdisk.patch_hn]: [sda]
[dev.mnt.rootdisk.preas]: [sda]
[dev.mnt.rootdisk.preavs]: [sda]
[dev.mnt.rootdisk.preload]: [sda]
[dev.mnt.rootdisk.product_h]: [sda]
[dev.mnt.rootdisk.root]: [sda]
[dev.mnt.rootdisk.system_ext]: [sda]
[dev.mnt.rootdisk.vendor]: [sda]
[dev.mnt.rootdisk.vendor.dsp]: [sde]
[dev.mnt.rootdisk.version]: [sda]
[dev.pm.dyn_samplingrate]: [1]
[fw.max_users]: [4]
[fw.show_multiuserui]: [1]
[gsm.current.phone-type]: [1,2]
[gsm.hw.cust.ecclist0]: []
[gsm.hw.cust.ecclist1]: []
[gsm.msc.operator.iso-country]: [cn]
[gsm.msc.operator.isroaming]: [false]
[gsm.msc.operator.numeric]: []
[gsm.national_roaming.apn]: [46003]
[gsm.network.type]: [EDGE,Unknown]
[gsm.operator.alpha]: [,]
[gsm.operator.alpha0]: []
[gsm.operator.alpha1]: []
[gsm.operator.iso-country]: [cn,]
[gsm.operator.isroaming]: [false,false]
[gsm.operator.numeric]: [,]
[gsm.sigcust.configured]: [true]
[gsm.sim.operator.alpha]: []
[gsm.sim.operator.iso-country]: []
[gsm.sim.operator.numeric]: []
[gsm.sim.preiccid_0]: []
[gsm.sim.preiccid_1]: []
[gsm.sim.state]: [ABSENT,ABSENT]
[gsm.version.baseband]: [667753,667753]
[gsm.version.ril-impl]: [Qualcomm RIL 1.0]
[hilog.tag]: [I]
[hsdf.keyguard.support_uppertime_style]: [true]
[hw.lcd.density]: [480]
[hw.system.folderPrefix]: [Honor]
[hw_mc.hicall.screensharing]: [true]
[hw_mc.hicall.skinbeauty]: [false]
[hw_mc.meetime.message.mode]: [1]
